# id	sigil	default_rank	font_icon
codex	CX	1	:codex:
claude	CL	2	:claude:
copilot	CP	3	-
opencode	OC	4	-
gemini	GE	5	:gemini:
cursor	CR	-	:cursor:
opencodego	OG	-	-
alibaba	AL	-	-
factory	FA	-	-
droid	FA	-	-
antigravity	AG	-	:antigravity:
zai	ZA	-	-
minimax	MX	-	-
kimi	KM	-	-
kimik2	K2	-	-
kilo	KL	-	-
kiro	KR	-	:kiro:
vertexai	VA	-	-
augment	AU	-	-
jetbrains	JB	-	-
amp	AM	-	-
ollama	OL	-	:ollama:
synthetic	SY	-	-
warp	WP	-	:warp:
openrouter	OR	-	-
windsurf	WS	-	-
perplexity	PX	-	:perplexity:
abacus	AB	-	-
mistral	MS	-	-
deepseek	DS	-	:deepseek:
codebuff	CB	-	-
openai	OP	-	:openai:
